Name,Assigned Male,Year,Assigned Female,Total
Leslie,26.0,1974,5.0,31.0
Rohan,1.0,1974,,
Rian,1.0,1974,,
Rhys,1.0,1974,,
Ruairidh,1.0,1974,,
Sarah,1.0,1974,402.0,403.0
Sacha,1.0,1974,5.0,6.0
Reese,1.0,1974,,
Pamela,1.0,1974,282.0,283.0
Reece,1.0,1974,,
Reagan,1.0,1974,,
Rana,1.0,1974,,
Rae,1.0,1974,5.0,6.0
Tracey,1.0,1974,334.0,335.0
Theo,1.0,1974,,
Tegan,1.0,1974,,
Shawn,1.0,1974,1.0,2.0
Sharon,1.0,1974,720.0,721.0
Tai,1.0,1974,,
Stevie,1.0,1974,,
Stacey,1.0,1974,16.0,17.0
Kiran,1.0,1974,,
Kieren,1.0,1974,,
Kia,1.0,1974,,
Kelly,1.0,1974,54.0,55.0
Keir,1.0,1974,1.0,2.0
Kristen,1.0,1974,3.0,4.0
Lea,1.0,1974,9.0,10.0
Lauren,1.0,1974,12.0,13.0
Laura,1.0,1974,335.0,336.0
Kristin,1.0,1974,,
Kari,1.0,1974,4.0,5.0
Jodie,1.0,1974,2.0,3.0
Jesse,1.0,1974,,
Jerry,1.0,1974,,
Joe,1.0,1974,,
Lesley,1.0,1974,341.0,342.0
Johan,1.0,1974,3.0,4.0
Kai,1.0,1974,,
Ka,1.0,1974,1.0,2.0
Justine,1.0,1974,20.0,21.0
Johann,1.0,1974,4.0,5.0
Julie,1.0,1974,576.0,577.0
Joss,1.0,1974,,
Joshua,1.0,1974,,
Levi,1.0,1974,,
Noah,1.0,1974,,
Nicola,1.0,1974,935.0,936.0
Michelle,1.0,1974,531.0,532.0
Michele,1.0,1974,67.0,68.0
Michal,1.0,1974,,
Mandeep,1.0,1974,,
Man,1.0,1974,1.0,2.0
Lorraine,1.0,1974,336.0,337.0
Micah,1.0,1974,,
Mary,1.0,1974,200.0,201.0
Wing,1.0,1974,,
Shannon,,1974,1.0,
Nova,,1974,1.0,
Regan,,1974,1.0,
Zain,1.0,1974,,
Zi,1.0,1974,,
Simran,,1974,1.0,
Sky,,1974,1.0,
Skye,,1974,1.0,
Janet,1.0,1974,88.0,89.0
Julian,16.0,1974,1.0,17.0
Leon,16.0,1974,,
Drew,14.0,1974,,
Evan,14.0,1974,,
Laurence,13.0,1974,,
Finlay,12.0,1974,,
Glenn,16.0,1974,,
Dylan,16.0,1974,,
Dale,16.0,1974,1.0,17.0
Dominic,23.0,1974,,
Terry,20.0,1974,4.0,24.0
Jack,18.0,1974,,
Aaron,17.0,1974,,
Blair,17.0,1974,,
Kerr,12.0,1974,,
Toby,10.0,1974,1.0,11.0
Billy,9.0,1974,,
Louis,9.0,1974,1.0,10.0
Mohammad,9.0,1974,,
Noel,9.0,1974,1.0,10.0
Sandy,9.0,1974,,
Brett,8.0,1974,,
Nairn,10.0,1974,,
Daryl,11.0,1974,,
Kyle,11.0,1974,,
Mohammed,12.0,1974,,
Leigh,11.0,1974,109.0,120.0
Elliot,10.0,1974,,
Lorne,11.0,1974,,
Rory,25.0,1974,,
Alistair,128.0,1974,,
Duncan,130.0,1974,,
Charles,131.0,1974,,
Garry,139.0,1974,,
Fraser,140.0,1974,,
Donald,146.0,1974,1.0,147.0
Matthew,151.0,1974,,
Daniel,169.0,1974,,
Stewart,171.0,1974,,
Joseph,172.0,1974,1.0,173.0
Nicholas,173.0,1974,,
Gavin,179.0,1974,,
Jonathan,184.0,1974,,
Ross,187.0,1974,,
Grant,187.0,1974,,
Ewan,98.0,1974,,
Ryan,98.0,1974,,
Francis,97.0,1974,,
Cameron,58.0,1974,,
Angus,67.0,1974,,
Robin,70.0,1974,,
Calum,75.0,1974,,
Adam,75.0,1974,,
Euan,81.0,1974,,
Jamie,88.0,1974,,
Marc,92.0,1974,,
Bryan,94.0,1974,,
Bruce,96.0,1974,,
Sean,77.0,1974,,
Lee,209.0,1974,109.0,318.0
Douglas,225.0,1974,,
Christopher,702.0,1974,,
Stuart,710.0,1974,,
Michael,735.0,1974,1.0,736.0
Craig,749.0,1974,,
William,777.0,1974,1.0,778.0
Stephen,866.0,1974,1.0,867.0
Robert,885.0,1974,2.0,887.0
Steven,1020.0,1974,,
Scott,1060.0,1974,,
Alan,685.0,1974,,
Andrew,1067.0,1974,,
Mark,1234.0,1974,,
Paul,1260.0,1974,2.0,1262.0
John,1528.0,1974,2.0,1530.0
David,1794.0,1974,1.0,1795.0
Lindsay,26.0,1974,86.0,112.0
Christian,25.0,1974,4.0,29.0
Lewis,25.0,1974,,
James,1202.0,1974,,
Colin,634.0,1974,,
Kevin,598.0,1974,,
Simon,281.0,1974,,
Allan,284.0,1974,,
Kenneth,302.0,1974,,
George,302.0,1974,1.0,303.0
Graham,325.0,1974,,
Darren,333.0,1974,,
Peter,353.0,1974,1.0,354.0
Graeme,354.0,1974,,
Alexander,359.0,1974,,
Brian,623.0,1974,1.0,624.0
Gordon,369.0,1974,,
Jason,389.0,1974,,
Ian,421.0,1974,,
Neil,446.0,1974,,
Thomas,458.0,1974,,
Martin,473.0,1974,,
Derek,500.0,1974,,
Richard,558.0,1974,,
Gary,570.0,1974,1.0,571.0
Iain,386.0,1974,,
Reuben,3.0,1974,,
Aiden,2.0,1974,,
Ainslie,2.0,1974,3.0,5.0
Rennie,3.0,1974,1.0,4.0
Kennedy,3.0,1974,,
Max,3.0,1974,,
Maxwell,3.0,1974,,
Mitchell,3.0,1974,,
Laurie,3.0,1974,8.0,11.0
Elliott,2.0,1974,,
Jaimie,2.0,1974,,
Chris,2.0,1974,,
Danny,3.0,1974,,
Clarke,3.0,1974,,
Leighton,6.0,1974,,
Ashley,5.0,1974,47.0,52.0
Bryce,5.0,1974,,
Darryl,5.0,1974,,
Harvey,5.0,1974,,
Jody,5.0,1974,5.0,10.0
Kieran,5.0,1974,,
Jay,6.0,1974,,
Robbie,8.0,1974,,
Aidan,7.0,1974,,
Austin,7.0,1974,,
Kristian,7.0,1974,3.0,10.0
Mathew,7.0,1974,,
Moray,7.0,1974,,
Nicol,7.0,1974,,
Shane,7.0,1974,3.0,10.0
Findlay,6.0,1974,,
Innes,7.0,1974,1.0,8.0
Kris,5.0,1974,,
Marshall,5.0,1974,,
Ronnie,4.0,1974,,
Rowan,4.0,1974,4.0,8.0
Spencer,4.0,1974,,
Struan,4.0,1974,,
Wallace,4.0,1974,,
Arran,3.0,1974,,
Arron,3.0,1974,,
Aynsley,3.0,1974,,
Ray,5.0,1974,,
Tommy,5.0,1974,,
Wai,5.0,1974,2.0,7.0
Alex,4.0,1974,1.0,5.0
Ali,4.0,1974,1.0,5.0
Andrea,4.0,1974,158.0,162.0
Morgan,4.0,1974,,
Jan,4.0,1974,20.0,24.0
Kerry,4.0,1974,187.0,191.0
Kieron,4.0,1974,,
Luke,4.0,1974,,
Gareth,50.0,1974,,
Dean,49.0,1974,,
Derryn,1.0,1974,,
Derry,1.0,1974,,
Denver,1.0,1974,,
Dion,1.0,1974,,
Darrell,1.0,1974,,
Ciaran,1.0,1974,,
Christie,1.0,1974,,
Chi,1.0,1974,,
Che,1.0,1974,,
Casey,1.0,1974,,
Carol,1.0,1974,319.0,320.0
Carey,1.0,1974,2.0,3.0
Danielle,1.0,1974,5.0,6.0
Corin,1.0,1974,,
Corey,1.0,1974,,
Connor,1.0,1974,,
Ellis,1.0,1974,,
Heather,1.0,1974,253.0,254.0
Jade,1.0,1974,5.0,6.0
Jackie,1.0,1974,2.0,3.0
Islay,1.0,1974,1.0,2.0
Fionn,1.0,1974,1.0,2.0
Finley,1.0,1974,,
Felix,1.0,1974,,
Frankie,1.0,1974,,
Gabriel,1.0,1974,,
Ronan,2.0,1974,,
Rikki,2.0,1974,,
Perry,2.0,1974,,
Nikki,2.0,1974,2.0,4.0
Nicky,2.0,1974,,
Sam,2.0,1974,,
Taylor,2.0,1974,,
Sonny,2.0,1974,,
Sidney,2.0,1974,,
Liam,29.0,1974,,
Barrie,30.0,1974,,
Marcus,32.0,1974,,
Campbell,35.0,1974,1.0,36.0
Shaun,36.0,1974,,
Samuel,44.0,1974,,
Adrian,46.0,1974,,
Callum,35.0,1974,,
Mason,2.0,1974,,
Lyle,2.0,1974,,
Logan,2.0,1974,,
Lindsey,2.0,1974,50.0,52.0
Leyton,2.0,1974,,
Leo,2.0,1974,,
Keiran,2.0,1974,,
Jude,2.0,1974,1.0,3.0
Joel,2.0,1974,,
Brook,1.0,1974,,
Bobby,1.0,1974,,
Blythe,1.0,1974,,
Barbara,1.0,1974,75.0,76.0
Amanda,1.0,1974,502.0,503.0
Aman,1.0,1974,,
Ari,1.0,1974,,
Ann,1.0,1974,180.0,181.0
Angel,1.0,1974,,
Jean,2.0,1974,52.0,54.0
Freya,,1974,2.0,
Karis,,1974,2.0,
Joni,,1974,2.0,
Jo,,1974,2.0,
Abbey,,1974,1.0,
Alisha,,1974,1.0,
Rebekah,,1974,2.0,
Nicki,,1974,2.0,
Ainsley,,1974,3.0,
Gabrielle,,1974,3.0,
Katy,,1974,4.0,
Jodi,,1974,4.0,
Holly,,1974,4.0,
Terri,,1974,4.0,
Stacy,,1974,4.0,
Rhian,,1974,4.0,
Courtney,,1974,2.0,
Alix,,1974,2.0,
Erin,,1974,1.0,
Dee,,1974,1.0,
Honey,,1974,1.0,
Gemma,,1974,1.0,
Billie,,1974,4.0,
Brooke,,1974,1.0,
Bobbie,,1974,1.0,
Blyth,,1974,1.0,
Ashleigh,,1974,1.0,
Christy,,1974,1.0,
Daisy,,1974,1.0,
Cory,,1974,1.0,
Cori,,1974,1.0,
Keeley,,1974,1.0,
Kendal,,1974,1.0,
Lesley-Anne,,1974,1.0,
Fiona,,1974,793.0,
Karen,,1974,825.0,
Susan,,1974,763.0,
Claire,,1974,727.0,
Angela,,1974,660.0,
Gillian,,1974,577.0,
Lynne,,1974,284.0,
Catherine,,1974,298.0,
Lorna,,1974,314.0,
Linda,,1974,316.0,
Lisa,,1974,334.0,
Deborah,,1974,340.0,
Elizabeth,,1974,346.0,
Lynn,,1974,376.0,
Donna,,1974,398.0,
Jennifer,,1974,470.0,
Louise,,1974,491.0,
Tracy,,1974,498.0,
Jacqueline,,1974,505.0,
Margaret,,1974,375.0,
Nikola,,1974,1.0,
Kirsty,,1974,281.0,
Loren,,1974,1.0,
Lori,,1974,1.0,
Jane,,1974,274.0,
Emma,,1974,264.0,
Sophie,,1974,9.0,
Daniella,,1974,7.0,
Olivia,,1974,8.0,
Jocelyn,,1974,7.0,
Kellie,,1974,10.0,
Cindy,,1974,11.0,
Simone,,1974,12.0,
Sharlene,,1974,12.0,
Sarah-Jane,,1974,12.0,
Alana,,1974,13.0,
Alexis,,1974,10.0,
Dana,,1974,5.0,
Corrie,,1974,5.0,
Kirstine,,1974,5.0,
Sinead,,1974,5.0,
Sheryl,,1974,5.0,
Sandie,,1974,5.0,
Marnie,,1974,5.0,
Robyn,,1974,5.0,
Katie,,1974,6.0,
Jessica,,1974,6.0,
Amber,,1974,6.0,
Aimee,,1974,6.0,
Amelia,,1974,5.0,
Toni,,1974,6.0,
Sasha,,1974,6.0,
Sian,,1974,6.0,
Joanne,,1974,262.0,
Melissa,,1974,15.0,
Sally,,1974,52.0,
Rebecca,,1974,52.0,
Anna,,1974,53.0,
Katherine,,1974,55.0,
Alexandra,,1974,59.0,
Allison,,1974,60.0,
Kim,,1974,61.0,
Kathryn,,1974,61.0,
Frances,,1974,72.0,
Natalie,,1974,50.0,
Sara,,1974,50.0,
Agnes,,1974,36.0,
Theresa,,1974,37.0,
Eleanor,,1974,42.0,
Christina,,1974,73.0,
Valerie,,1974,74.0,
Maria,,1974,74.0,
Patricia,,1974,123.0,
Melanie,,1974,126.0,
Paula,,1974,137.0,
Shona,,1974,148.0,
Clare,,1974,157.0,
Marie,,1974,190.0,
Samantha,,1974,200.0,
Victoria,,1974,215.0,
Helen,,1974,219.0,
Anne,,1974,238.0,
Christine,,1974,175.0,
Ruth,,1974,119.0,
Jillian,,1974,78.0,
Stephanie,,1974,84.0,
Zoe,,1974,87.0,
Jill,,1974,114.0,
Debbie,,1974,91.0,
Cheryl,,1974,91.0,
Katrina,,1974,96.0,
Kirsteen,,1974,97.0,
Kirsten,,1974,98.0,
Rachel,,1974,106.0,
Maureen,,1974,90.0,
Jayne,,1974,34.0,
Joy,,1974,18.0,
Isla,,1974,19.0,
Grace,,1974,19.0,
Eilidh,,1974,19.0,
Norma,,1974,20.0,
Amy,,1974,17.0,
Leah,,1974,17.0,
Linsey,,1974,15.0,
Kerrie,,1974,15.0,
Kate,,1974,15.0,
Kirstin,,1974,20.0,
Lyndsey,,1974,17.0,
Nadine,,1974,16.0,
Leona,,1974,28.0,
Lyndsay,,1974,30.0,
Tanya,,1974,28.0,
Morven,,1974,33.0,
Vicky,,1974,31.0,
Rose,,1974,21.0,
Hayley,,1974,21.0,
Monica,,1974,22.0,
Natasha,,1974,23.0,
Siobhan,,1974,24.0,
Lara,,1974,24.0,
Kimberley,,1974,26.0,
Josephine,,1974,26.0,
Iona,,1974,26.0,
David,1793.0,1975,1.0,1794.0
John,1481.0,1975,1.0,1482.0
James,1193.0,1975,,
Jean,1.0,1975,48.0,49.0
Jesse,1.0,1975,,
Justine,1.0,1975,17.0,18.0
Jordan,1.0,1975,,
Jillian,1.0,1975,62.0,63.0
Jaime,1.0,1975,,
Jai,1.0,1975,,
Helen,1.0,1975,255.0,256.0
Hayden,1.0,1975,,
Hunter,1.0,1975,,
Jade,1.0,1975,5.0,6.0
Lesley,1.0,1975,319.0,320.0
Lennox,1.0,1975,,
Linda,1.0,1975,244.0,245.0
Lawson,1.0,1975,,
Lawrie,1.0,1975,,
Leighton,1.0,1975,,
Lindsey,1.0,1975,47.0,48.0
Loren,1.0,1975,1.0,2.0
Kennedy,1.0,1975,,
Kerry,1.0,1975,239.0,240.0
Kristin,1.0,1975,,
Kian,1.0,1975,,
Dillon,1.0,1975,,
Devlin,1.0,1975,,
Eden,1.0,1975,,
Denver,1.0,1975,,
Corrin,1.0,1975,,
Corin,1.0,1975,,
Conor,1.0,1975,,
Clarke,1.0,1975,1.0,2.0
Corey,1.0,1975,,
Dee,1.0,1975,1.0,2.0
Danni,1.0,1975,,
Gabriel,1.0,1975,,
Erin,1.0,1975,,
Ellis,1.0,1975,,
Elizabeth,1.0,1975,352.0,353.0
